Comment,cleaned_comments
Cta2006 It still places them in the top 20%. There suicide rates are high and that’s the point.,cta2006 it still places them in the top 20 there suicide rates are high and that s the point
"Suicide rate by country ( both sexes ) ( ranking in parentesis ): Finland (32), USA (34), Iceland (40), Sweden (51), Canada (72), Norway (74), Denmark (89). The only Nordic country worse than the USA is Finland and the difference between the two coiuntries is not big. The rest of they countries far much much better than the USA. The point is that the US has a worse suicide rate than most of them, except Finland.",suicide rate by country both sexes ranking in parentesis finland 32 usa 34 iceland 40 sweden 51 canada 72 norway 74 denmark 89 the only nordic country worse than the usa is finland and the difference between the two coiuntries is not big the rest of they countries far much much better than the usa the point is that the us has a worse suicide rate than most of them except finland
"Africa, India, East Europe and East Asia have the highest suicide rates...",africa india east europe and east asia have the highest suicide rates
These countries have small populations,these countries have small populations
The Nordic model really needs to go global.,the nordic model really needs to go global
True.,TRUE
agree,agree
"Money is not the main key to happiness. I am from Norway, alot of people are happy, but there is also alot of unhappy people here. Depression is very common, probably because of mentality and weather, and there is alot of suicide and alcohol problems, and drug addicts, and there is not so much to do here either, because there is poor access to leisure facilities

I have been to poor countries where the citizens have much more to spend their free time on. If you live in the countryside, they have little to offer the residents. In many places you can go for a walk or stay at home, but that's all you can do, and you have poor access to public transport. It goes without saying that many people become depressed when they have bad weather almost all year round, and nothing to spend their time on. Moreover, it is a myth that most people are rich in Norway. Most of them belong to the working class, and even if the amount of income is higher than in many other western countries, one must not forget that Norway is among the most expensive countries in the western world, so then people do not become richer than in many other western countries, as the cost of living is much higher, I would like to emphasize that this does NOT apply to all western countries, there are some WESTERN countries where people have less in accordance with their cost of living

When it comes to healthcare, I would say that it is good in Norway, but not extraordinary or unique. There are many other countries in Europe that have the same system. Spending the night in hospital for free, and receiving free treatment while you are admitted to hospital apply in many places in the western world

All outpatient treatment in public healthcare costs money. It is partially subsidized, but not free, you have to pay a deductible, as in many other countries. Treatment within mental health in the Norwegian public health system has burst capacity with long waiting times, so access to help for those struggling mentally is poor. I know from an earlier period in my own life that help is difficult and scarce, you almost have to be suicidal to get help quickly, if you are not suicidal, but still have major psychological problems, then the waiting time in the public health system is long

I would also like to mention dental health. In Norway, I feel that the teeth are not part of the body. Dentistry is 0% subsidized by the state after you turn 18. Then you pay 100% of the price yourself, as you do in the USA. Dentistry is not part of the Norwegian ordinary healthcare system, it is a ""separate"" healthcare system, without rights. I can't afford to go to the dentist right now, but if I save some money, I might be able to in 3 or 4 months. 

Norway is not a bad country to live in. But it is not perfect or unique either. We are rich in resources, but the people who live here are not rich, but neither are they poor, but of course there are poor and rich, but these two groups are minorities, the working class is the majority of the population

Whether a person is lucky or unlucky is, in my opinion, to a greater extent from person to person than from country to country. But of course you are more fortunate than those who live in war zones or those who are starving, but say you don't live in a war zone, but still in a poor corrupt country and you yourself are poor, but still enough for food and hygiene, you are then less lucky than an average Norwegian? This is impossible to answer, there is no definitive answer, money is not everything, and it all depends on who you ask. Personally, I think it's about what you've experienced in life. 

Even if you live in a rich Western country, you are still not immune to bad experiences in life, and people deal with things differently, and it also has a lot to do with who you surround yourself with. There are cold people here as elsewhere, there are psychopaths here as elsewhere, there are people in mourning who have lost loved ones here as elsewhere, there is abuse here as elsewhere. 

You can be lucky or unlucky anywhere, and in my opinion it varies from country to country, and not from person to person. For example, if you lose someone you love, the grief is just as great in a rich country as it is in a poor country, the dead person does not come back, and the missing is just as great. If you experience traumatic events in Norway, this is no less traumatic than if you experience this in a poor country

Even if Norway has little street crime, I don't think they have less crime inside a house or an apartment with relations. Sick people are found everywhere, these are international problems. Many people in the world are mistreated by so-called ""friends"" or relatives within the 4 walls of the house. This is hardly less widespread in Norway than elsewhere",money is not the main key to happiness i am from norway alot of people are happy but there is also alot of unhappy people here depression is very common probably because of mentality and weather and there is alot of suicide and alcohol problems and drug addicts and there is not so much to do here either because there is poor access to leisure facilities i have been to poor countries where the citizens have much more to spend their free time on if you live in the countryside they have little to offer the residents in many places you can go for a walk or stay at home but that s all you can do and you have poor access to public transport it goes without saying that many people become depressed when they have bad weather almost all year round and nothing to spend their time on moreover it is a myth that most people are rich in norway most of them belong to the working class and even if the amount of income is higher than in many other western countries one must not forget that norway is among the most expensive countries in the western world so then people do not become richer than in many other western countries as the cost of living is much higher i would like to emphasize that this does not apply to all western countries there are some western countries where people have less in accordance with their cost of living when it comes to healthcare i would say that it is good in norway but not extraordinary or unique there are many other countries in europe that have the same system spending the night in hospital for free and receiving free treatment while you are admitted to hospital apply in many places in the western world all outpatient treatment in public healthcare costs money it is partially subsidized but not free you have to pay a deductible as in many other countries treatment within mental health in the norwegian public health system has burst capacity with long waiting times so access to help for those struggling mentally is poor i know from an earlier period in my own life that help is difficult and scarce you almost have to be suicidal to get help quickly if you are not suicidal but still have major psychological problems then the waiting time in the public health system is long i would also like to mention dental health in norway i feel that the teeth are not part of the body dentistry is 0 subsidized by the state after you turn 18 then you pay 100 of the price yourself as you do in the usa dentistry is not part of the norwegian ordinary healthcare system it is a separate healthcare system without rights i can t afford to go to the dentist right now but if i save some money i might be able to in 3 or 4 months norway is not a bad country to live in but it is not perfect or unique either we are rich in resources but the people who live here are not rich but neither are they poor but of course there are poor and rich but these two groups are minorities the working class is the majority of the population whether a person is lucky or unlucky is in my opinion to a greater extent from person to person than from country to country but of course you are more fortunate than those who live in war zones or those who are starving but say you don t live in a war zone but still in a poor corrupt country and you yourself are poor but still enough for food and hygiene you are then less lucky than an average norwegian this is impossible to answer there is no definitive answer money is not everything and it all depends on who you ask personally i think it s about what you ve experienced in life even if you live in a rich western country you are still not immune to bad experiences in life and people deal with things differently and it also has a lot to do with who you surround yourself with there are cold people here as elsewhere there are psychopaths here as elsewhere there are people in mourning who have lost loved ones here as elsewhere there is abuse here as elsewhere you can be lucky or unlucky anywhere and in my opinion it varies from country to country and not from person to person for example if you lose someone you love the grief is just as great in a rich country as it is in a poor country the dead person does not come back and the missing is just as great if you experience traumatic events in norway this is no less traumatic than if you experience this in a poor country even if norway has little street crime i don t think they have less crime inside a house or an apartment with relations sick people are found everywhere these are international problems many people in the world are mistreated by so called friends or relatives within the 4 walls of the house this is hardly less widespread in norway than elsewhere
Scandinavia will be even happier if they succeding in creating an ethno state,scandinavia will be even happier if they succeding in creating an ethno state
TORILLA TAVATAAN!!!,torilla tavataan
"- ""it's not about being really rich""
- continues  to list things that are only possible because of the country's wealth""",it s not about being really rich continues to list things that are only possible because of the country s wealth
"Yes, to be rich is necessary for these things, but it's not necessary. The US is richer, but it opts to not distribute its money equally.",yes to be rich is necessary for these things but it s not necessary the us is richer but it opts to not distribute its money equally
"@@albinjohnsson2511 the rich get richer, and the poor get poorer?",the rich get richer and the poor get poorer
"Interestingly, I don't think I heard them mentioning equality that much. Countries that have a 'winner takes all' mentality probably won't see their citizens being generally happy. 
Another thing I've noticed is that countries don't all value happiness, culturally. As a crude generalisation of Americans, for instance, you get the overwhelming sense that their culture values success and material wealth a lot, but those aren't actually prerequisites for happiness at all",interestingly i don t think i heard them mentioning equality that much countries that have a winner takes all mentality probably won t see their citizens being generally happy another thing i ve noticed is that countries don t all value happiness culturally as a crude generalisation of americans for instance you get the overwhelming sense that their culture values success and material wealth a lot but those aren t actually prerequisites for happiness at all
"Not bragging but let's see the factors host mentioned and compare them to India's efforts. 
1) we have free or low fee college options. 
2) we have free healthcare in govt hospitals. On 23 September our PM launched biggest healthcare system in the world. India practically coined the term ""medical tourism"".
3)free school with free mid day meals. 
4) incentives for producing 1 or 2 babies. And a fixed deposit for having girl child.
5) free supplements to pregnant women and infants and to kids at schools like folic acid, iron tabs etc. 
6) largest vaccination programs. 

Just no unemployment check. 

Looks like it comes down to corruption and blame game that goes around. 
When we stop competing with other countries and start competing with ourselves and be better than what we were  yesterday, I guess our happiness index would improve.",not bragging but let s see the factors host mentioned and compare them to india s efforts 1 we have free or low fee college options 2 we have free healthcare in govt hospitals on 23 september our pm launched biggest healthcare system in the world india practically coined the term medical tourism 3 free school with free mid day meals 4 incentives for producing 1 or 2 babies and a fixed deposit for having girl child 5 free supplements to pregnant women and infants and to kids at schools like folic acid iron tabs etc 6 largest vaccination programs just no unemployment check looks like it comes down to corruption and blame game that goes around when we stop competing with other countries and start competing with ourselves and be better than what we were yesterday i guess our happiness index would improve
The northeners are happy because all the sad people just kill themselves,the northeners are happy because all the sad people just kill themselves
"Nordic model = social democracy = capitalism. Why, well for a nation to be socialist the goverment must own the means of production. All of these countries have private firms. All countries have little protectionism (all are part of the single market). They have free markets and all rank highly for ease of doing business. Natural resources help a bit but not all have large supplies of them. They have some socialist elements however they are nowhere near the term socialist. They have effective goverment spending, stable population growth, the right cultural midnset (of pride in a job) and good employment laws (some are from the EU).",nordic model social democracy capitalism why well for a nation to be socialist the goverment must own the means of production all of these countries have private firms all countries have little protectionism all are part of the single market they have free markets and all rank highly for ease of doing business natural resources help a bit but not all have large supplies of them they have some socialist elements however they are nowhere near the term socialist they have effective goverment spending stable population growth the right cultural midnset of pride in a job and good employment laws some are from the eu
I believe in Norway the government owns 59% of it all.,i believe in norway the government owns 59 of it all
"The Nordic countries do not have stable population growth. All of them are suffering from the ""problems of progress"" and would be in population decline (fertility rates under 2.1) if it weren't for immigration, and immigration creates quite extreme social divisions (see Sweden's decline on this list for instance).",the nordic countries do not have stable population growth all of them are suffering from the problems of progress and would be in population decline fertility rates under 2 1 if it weren t for immigration and immigration creates quite extreme social divisions see sweden s decline on this list for instance
THIS IS SOOOOOOOO RACIST!!!!!!!!!!!!!!!!!!!!!!’,this is soooooooo racist
"United States shouldn't even be in on 18th...it should be way down. One of the most corrupted government the world have ever seen in the history of mind kind. Also climate change related disasters; where the government doesn't help you at all or much....and poverty...yes..poverty.......People are crush by medical debts, scam by banks or governments. Death of democracy in the country and so on.",united states shouldn t even be in on 18th it should be way down one of the most corrupted government the world have ever seen in the history of mind kind also climate change related disasters where the government doesn t help you at all or much and poverty yes poverty people are crush by medical debts scam by banks or governments death of democracy in the country and so on
Has anyone noticed that the top 5 happiest countries arent in the EU?,has anyone noticed that the top 5 happiest countries arent in the eu
"Finland and Denmark are both EU member states. Also, Norway abides by most EU rules and is a part of the single market. It just doesn't sit at the table with actual members.",finland and denmark are both eu member states also norway abides by most eu rules and is a part of the single market it just doesn t sit at the table with actual members
"Jack Eaton The only dictatorship in Europe is Belarussia, and they are not in the EU. Not quite sure what you mean.",jack eaton the only dictatorship in europe is belarussia and they are not in the eu not quite sure what you mean
Finland and Denmark are the members of EU.,finland and denmark are the members of eu
Oh boy... More socialism looks so evil...,oh boy more socialism looks so evil
This channel always has nice presenters.,this channel always has nice presenters
They act like cracking down on refuuges is bad,they act like cracking down on refuuges is bad
This girl is gorgeous thanks for adding her. Like,this girl is gorgeous thanks for adding her like
"5:11
BREAKING NEWS: Having a different political view is a problem and deserves criticism!!!
Good ol hard-left media.",5 11 breaking news having a different political view is a problem and deserves criticism good ol hard left media
Note how Sweden has declined drastically on this list since after the high immigration that the other nordic countries basically refused.,note how sweden has declined drastically on this list since after the high immigration that the other nordic countries basically refused
"In my opinion, immigration is not also considered as negative but it also could help their economy because of more workforce included there which the country has lack of working age and professional people that can help their economy and other aspect. So in general Sweden choose the right path but still they need to filter everyone more detail especially to everyone who have no skill and radical islamist people from the MIDDLE EAST which can threat the security of the country. That is the biggest problem that make Sweden far behind of other nordic nation in 9 place for happiness index ranking",in my opinion immigration is not also considered as negative but it also could help their economy because of more workforce included there which the country has lack of working age and professional people that can help their economy and other aspect so in general sweden choose the right path but still they need to filter everyone more detail especially to everyone who have no skill and radical islamist people from the middle east which can threat the security of the country that is the biggest problem that make sweden far behind of other nordic nation in 9 place for happiness index ranking
"@@michaelsubroto5563 yes we need people who can work such as engineers, Police and doctors. Most people sweden got can barely read.",yes we need people who can work such as engineers police and doctors most people sweden got can barely read
@@bingoberra18 Yeah thats why most people slam sweden as the 'islamic state of swedenistan' or something because unfortunately the government is not too selective enough to choose which people has good personal capabilities and which one could only being threat to their economical stability such as most of Somalian based refugee who doesnt possess any good skill for the benefit of their country. So pity though.,yeah thats why most people slam sweden as the islamic state of swedenistan or something because unfortunately the government is not too selective enough to choose which people has good personal capabilities and which one could only being threat to their economical stability such as most of somalian based refugee who doesnt possess any good skill for the benefit of their country so pity though
Michael Subroto yes and the women are happy that they have to fear getting raped by Mohammad now,michael subroto yes and the women are happy that they have to fear getting raped by mohammad now
"@bingoberra18  ""Declined drastically""?
2018: # 9
2019: # 7 
Sweden has been ranked among the top 10 countries in the world since this report started. 
So what are you talking about?",declined drastically 2018 9 2019 7 sweden has been ranked among the top 10 countries in the world since this report started so what are you talking about
@@magicforest71 If anything Sweden is an example of how immigration doesn't always lead to worse quality of life for its peoples if handled correctly.,if anything sweden is an example of how immigration doesn t always lead to worse quality of life for its peoples if handled correctly
@@DjokovicIsOurLordAndSaviour or the effects haven't shown yet. Some expect the situation to go in the same direction it has been in the US: the whites are by themselves and then there's everyone else.,or the effects haven t shown yet some expect the situation to go in the same direction it has been in the us the whites are by themselves and then there s everyone else
"@@Marxist-Nixonist-Bidenist It's definitely possible the stats aren't affected yet. But, it's also certainly not the case that things got a lot worse.",nixonist bidenist it s definitely possible the stats aren t affected yet but it s also certainly not the case that things got a lot worse
@@DjokovicIsOurLordAndSaviour true.,TRUE
Drastically? Sweden is still in the top ten?,drastically sweden is still in the top ten
"Sonalians ruining Sweden
Turkish ruining Germany
Muslims ruining UK
Africans ruining France
Europe has to do something now!!!",sonalians ruining sweden turkish ruining germany muslims ruining uk africans ruining france europe has to do something now
"@@theodoreroosevelt4260 I'm really not saying sweden should have no immigrants, but we took much more than any other country did per capita. And the latest statistic is that only half of immigrants are self sufficient after 13 (yes thirteen) years. Its way too costly for such a small country to be able to include all of them in society effectively, which leads to these ""no-go zones"". Too many leads to a downward spiral, but a well judged amount leads to an upward spiral of the society i truly belive that.",i m really not saying sweden should have no immigrants but we took much more than any other country did per capita and the latest statistic is that only half of immigrants are self sufficient after 13 yes thirteen years its way too costly for such a small country to be able to include all of them in society effectively which leads to these no go zones too many leads to a downward spiral but a well judged amount leads to an upward spiral of the society i truly belive that
I was wondering why Sweden was low (for a Nordic country).,i was wondering why sweden was low for a nordic country
@@tudorjason well basically the immigrats ruin Sweden,well basically the immigrats ruin sweden
True but the fact that the us is even in the top 20 is a joke about 70% of americans hate their life lol,true but the fact that the us is even in the top 20 is a joke about 70 of americans hate their life lol
"@@theodoreroosevelt4260 europe ruined africa, so please don't act like they haven't done anything bad.",europe ruined africa so please don t act like they haven t done anything bad
I remember when this channel uploaded videos every day :(,i remember when this channel uploaded videos every day
Sweden 🇸🇪?   I blame Pewdiepie,sweden i blame pewdiepie
You forgot to that Finland removed the Universal Basic Income,you forgot to that finland removed the universal basic income
"""highest taxed countries..""
Americans tuned out here.",highest taxed countries americans tuned out here
GOVERNMENT STEALING MUH MONEY AGAIN,government stealing muh money again
Too bad we have free education in Finland because of it,too bad we have free education in finland because of it
"0Flow0 not free, paid with taxes.",0flow0 not free paid with taxes
"Coz nordic countries are not as corrupt/ using tax money to bomb other countries.

I don't mind paying high tax if we know the money is used for mostly medicare, education, infrastructure, not war.",coz nordic countries are not as corrupt using tax money to bomb other countries i don t mind paying high tax if we know the money is used for mostly medicare education infrastructure not war
Socialism done right = Happiness,socialism done right happiness
Now of these countries are socialist.,now of these countries are socialist
"did u even check that? they have socialist policies. High tax, free education and free healthcare. Dont assume anything.",did u even check that they have socialist policies high tax free education and free healthcare dont assume anything
"Prince of Sloth You can ask the very leaders of these countries, they are not socialist. They are very much capitalist, except the have a welfare states, which makes them Social Democracies. But they are not, nor have they ever been, socialist.",prince of sloth you can ask the very leaders of these countries they are not socialist they are very much capitalist except the have a welfare states which makes them social democracies but they are not nor have they ever been socialist
"well, yes they have social policies. Is what i meant. i made an error saying they were socialist.",well yes they have social policies is what i meant i made an error saying they were socialist
@@ThePrinceOfSloth they are all basicly capitalist countries. Having free education and healthcare does not mean the countries are socialist countries.  Every country should have these matters free.,they are all basicly capitalist countries having free education and healthcare does not mean the countries are socialist countries every country should have these matters free
America can learn a thing or two from the Nordic countries,america can learn a thing or two from the nordic countries
Or maybe ten,or maybe ten
High usage of antidepressants?,high usage of antidepressants
"No, false",no false
Not as high as you think.,not as high as you think
"I moved to Norway recently and these statics are quite confusing. I find Norwegians to be very nice people generally and extremely kind but I wouldn't necessarily say they are happy!  In fact I often wonder why they seem so unhappy given how beautiful their country is and how lucky they are to have systems that work and good governance. I've noticed they only seem happy when they are drunk!  In fact I like talking to drunk Norwegians! Fully expressive and full of life! 
They also seem so lonely and the weather doesn't help.  I think there's a correlation between happiness and receiving the Sun in fair amounts.
Anyways, maybe I'm only yet to understand the culture here and what a happy Norwegian truly looks like.",i moved to norway recently and these statics are quite confusing i find norwegians to be very nice people generally and extremely kind but i wouldn t necessarily say they are happy in fact i often wonder why they seem so unhappy given how beautiful their country is and how lucky they are to have systems that work and good governance i ve noticed they only seem happy when they are drunk in fact i like talking to drunk norwegians fully expressive and full of life they also seem so lonely and the weather doesn t help i think there s a correlation between happiness and receiving the sun in fair amounts anyways maybe i m only yet to understand the culture here and what a happy norwegian truly looks like
"One shouldn't confuse happiness as in smiling faces and the factors named in the video. The happiness scale the report uses an overall and not a day to day scale. One can look rather miserable, but still be rather content. Happiness is probably the wrong word anyway.",one shouldn t confuse happiness as in smiling faces and the factors named in the video the happiness scale the report uses an overall and not a day to day scale one can look rather miserable but still be rather content happiness is probably the wrong word anyway
"Eve A  Yeah, happiness means being content with their lives, which most Norwegians are.",eve a yeah happiness means being content with their lives which most norwegians are
"@Judith D Magrini: I'm Norwegian, and I recognise what you're talking about. I think that to people coming from cultures that are in more warm climates, it might seem like we're sad because we don't express happiness (outwardly) so much. I think it's more a combination of our reservedness, shyness and stoic nature. We don't express emotions as much outwardly. I think Norwegians for the most part will only smile when the smile is genuine, rather than smiling to be polite or to create an illusion of friendliness. Norwegians generally don't befriend people quickly, but will take their time.",d magrini i m norwegian and i recognise what you re talking about i think that to people coming from cultures that are in more warm climates it might seem like we re sad because we don t express happiness outwardly so much i think it s more a combination of our reservedness shyness and stoic nature we don t express emotions as much outwardly i think norwegians for the most part will only smile when the smile is genuine rather than smiling to be polite or to create an illusion of friendliness norwegians generally don t befriend people quickly but will take their time
"You do not have to go around smiling 24/7 to show how happy you are. 
Also a lot of Nordic ppl like to be alone. 
I lived in other countries and ppl there did not smile 24/7 all The time.",you do not have to go around smiling 24 7 to show how happy you are also a lot of nordic ppl like to be alone i lived in other countries and ppl there did not smile 24 7 all the time
"I will think this may not be accurate, the same countries have a lot of suicides...",i will think this may not be accurate the same countries have a lot of suicides
"Suicide rate by country ( both sexes ) ( ranking in parentesis ): Finland (32), USA (34), Iceland (40), Sweden (51), Norway (74), Denmark (89). The only Nordic country worse than the USA is Finland and the difference between the two coiuntries is not big. The restof they countries far much much better than the USA.",suicide rate by country both sexes ranking in parentesis finland 32 usa 34 iceland 40 sweden 51 norway 74 denmark 89 the only nordic country worse than the usa is finland and the difference between the two coiuntries is not big the restof they countries far much much better than the usa
It is funny that people will stick to decades old stuff for ever. You ever heard of things changing with time?,it is funny that people will stick to decades old stuff for ever you ever heard of things changing with time
"@@Cta2006 Watch The video ""Suicide rates in The world/Country suicide comparison rate.""
62 highest suicide countries and Finland is not even mentioned. 
The highest suicide countries are:
The 1st Lithuania
The 2nd Russia
The 3rd South Korea",watch the video suicide rates in the world country suicide comparison rate 62 highest suicide countries and finland is not even mentioned the highest suicide countries are the 1st lithuania the 2nd russia the 3rd south korea
taxes ouuuuu,taxes ouuuuu
Not as high as you think. You must be super rich and then the taxes are high.,not as high as you think you must be super rich and then the taxes are high
Nordic countries have alot of rapists,nordic countries have alot of rapists
North or south & East or West INDIA is best,north or south east or west india is best
This comment section is so ignorant.,this comment section is so ignorant
"Pls create a video about WORLDs most RACIST Countries .
I know we INDIA  🇮🇳Rank first 😬",pls create a video about worlds most racist countries i know we india rank first
Whites are more racist than us.,whites are more racist than us
ਜੋਬਨ / J O B A N go and search in Google,j o b a n go and search in google
"@@VPROY-yr9vv 
Google is West leaning search engine which always show the negative side of India..",yr9vv google is west leaning search engine which always show the negative side of india
ਜੋਬਨ / J O B A N so u deny the CASTESIM of India,j o b a n so u deny the castesim of india
"@@joban8177 
Name one white racist country",name one white racist country
"@@basedpro-ua3470 
    America... is.",ua3470 america is
"@@joban8177 
Apart from America, can you name at least one racist white nation?",apart from america can you name at least one racist white nation
"@@basedpro-ua3470 
Iceland & Australia.
Whites does racist attacks.",ua3470 iceland australia whites does racist attacks
The Nords are happy because they know an eternity of glorious feasting and Hunting await them in Sovngard,the nords are happy because they know an eternity of glorious feasting and hunting await them in sovngard
We Tanzania we not happy because the gorverment do not care if die for hunger or we drawn they just do not care please UN help usss,we tanzania we not happy because the gorverment do not care if die for hunger or we drawn they just do not care please un help usss
If they are so happy. Why are they topping the suicide charts too?,if they are so happy why are they topping the suicide charts too
Survivorship bias lmao,survivorship bias lmao
"They are not.  Are you still living in The 90's. Watch The video ""Suicide rates in The world/Country suicide comparison rate.""Published 6 months ago. 
62 highest suicide countries and Finland is not even mentioned. The other nordic countries are far behind from the top. 
The highest suicide countries are: 
The 1st Lithuania, The 2nd Russia and The 3rd South Korea",they are not are you still living in the 90 s watch the video suicide rates in the world country suicide comparison rate published 6 months ago 62 highest suicide countries and finland is not even mentioned the other nordic countries are far behind from the top the highest suicide countries are the 1st lithuania the 2nd russia and the 3rd south korea
3:16 Brianna is cute!!!!!!,3 16 brianna is cute
"forgot to mention how homologous​ and small populations contribute to the ""happiness"".",forgot to mention how homologous and small populations contribute to the happiness
They pay high taxes but they get what they pay for.,they pay high taxes but they get what they pay for
Their money is still going back to them 💝,their money is still going back to them
It is not true. My son was working in UK and paid more tax than in Finland.,it is not true my son was working in uk and paid more tax than in finland
We get nothing,we get nothing
@Big blue whale I have income because of myself not because of the poor extra born and I gave it to myself!,blue whale i have income because of myself not because of the poor extra born and i gave it to myself
@@cinderellaandstepsisters yeah but the UK has high tax to have free healthcare which the NHS is rated one of the best in the world,yeah but the uk has high tax to have free healthcare which the nhs is rated one of the best in the world
@@harvey7979 in Finland as well. The same,in finland as well the same
"Lmfao. “Experts of happiness”
I’m done. I notice all the top countries are ALL WHITE",lmfao experts of happiness i m done i notice all the top countries are all white
"Ah yes, doubting someone's intellect, expertise and knowledge based on nothing more than their skin color. How very progressive and liberal.",ah yes doubting someone s intellect expertise and knowledge based on nothing more than their skin color how very progressive and liberal
@@firstnamelastname7299 It's more than skin color you fool.,it s more than skin color you fool
Your orbs make me happy.,your orbs make me happy
The immigration of muslims makes us unhappy and feel unsafe though,the immigration of muslims makes us unhappy and feel unsafe though
U sure. More than 50 percent of the top 10 countries have a population of more than 1million each and they are doing just fine. Re state ur facts bud.,u sure more than 50 percent of the top 10 countries have a population of more than 1million each and they are doing just fine re state ur facts bud
"So the world happiest countries is rank on subjective and not objective. Subjective means Proceeding from or taking place in a person's mind rather than the external world, and objective mean Uninfluenced by emotions or personal prejudices.",so the world happiest countries is rank on subjective and not objective subjective means proceeding from or taking place in a person s mind rather than the external world and objective mean uninfluenced by emotions or personal prejudices
"5:30 it’s precisely the welfare state benefits that attract millions of Muslims who don’t believe in women’s rights, but why bother explaining when you can just label far right anyone who dares criticize immigration.",5 30 it s precisely the welfare state benefits that attract millions of muslims who don t believe in women s rights but why bother explaining when you can just label far right anyone who dares criticize immigration
"3:41 highest taxed for citizens but not for corporations, which you forgot to mention conveniently for your welfare state propaganda.",3 41 highest taxed for citizens but not for corporations which you forgot to mention conveniently for your welfare state propaganda
"Corporate tax rates are not the highest in Nordic countries, that is true. However, employers have to pay numerous welfare fees related to social insurance (pensions, unemployment etc etc) per employee that almost amount to as much as the wages that they are paying employees. Defacto those welfare fees are taxes aswell, even if the corporate tax rates are not particularly high.",corporate tax rates are not the highest in nordic countries that is true however employers have to pay numerous welfare fees related to social insurance pensions unemployment etc etc per employee that almost amount to as much as the wages that they are paying employees defacto those welfare fees are taxes aswell even if the corporate tax rates are not particularly high
Homogenous,homogenous
"Keith there are so many Asians there, wdym",keith there are so many asians there wdym
"No No, They're systems is like Venezuela, straight up communism going on there! Have to trust fox news here!",no no they re systems is like venezuela straight up communism going on there have to trust fox news here
"Hey Guys 
Please make a video of 'Rafale Deal.'
It is big news in India but I having problem in believing what is right and what is wrong
I am from India .",hey guys please make a video of rafale deal it is big news in india but i having problem in believing what is right and what is wrong i am from india
Then look at the baltics and the results aren't really good. Definatly for Lithuania,then look at the baltics and the results aren t really good definatly for lithuania
"More atheism. 
More intelligent. 
More happy.",more atheism more intelligent more happy
"Tell that to China and North Korea.



Oh right.",tell that to china and north korea oh right
@Big blue whale You seriously gotta respond a 2 year old comment?,blue whale you seriously gotta respond a 2 year old comment
"Seems like all these 'happy countries' have big welfare programs for its society. I wonder why, hmmm... must be all the bank bailouts and for profit healthcare.",seems like all these happy countries have big welfare programs for its society i wonder why hmmm must be all the bank bailouts and for profit healthcare
no,no
That doesn't make sense at all.,that doesn t make sense at all
More happier than USA,more happier than usa
More happier than mexico,more happier than mexico
@@basedpro-ua3470 More happier than USA,ua3470 more happier than usa
Allahu HackBar,allahu hackbar
Strict immigration laws.,strict immigration laws
"Scot Fretwell No, they dont have it. It has came over 100 000 immigrants to Norway since 2012.",scot fretwell no they dont have it it has came over 100 000 immigrants to norway since 2012
Farasat Khan white immigrants,farasat khan white immigrants
"Fabio Cela Both White, Brown and Black immigrants.",fabio cela both white brown and black immigrants
Farasat Khan well they are still majority white very small Muslim and black sorry and the majority are seweds leaving Sweden,farasat khan well they are still majority white very small muslim and black sorry and the majority are seweds leaving sweden
I live in Stockholm and I am against immigration. Change my mind.,i live in stockholm and i am against immigration change my mind
is there any anti-migrant party besides the democrats?,is there any anti migrant party besides the democrats
"When you say immigration, do you mean all immigration, including legal immigration? Genuinely curious since I want the opinion of a Swede",when you say immigration do you mean all immigration including legal immigration genuinely curious since i want the opinion of a swede
"nobody cares, change my mind",nobody cares change my mind
Too bad your country is a Islamic shithole,too bad your country is a islamic shithole
"Legal Immigration is good , people spend money to come and integrate into a new society. They adapt themselves. However , Refugee's are almost never good.",legal immigration is good people spend money to come and integrate into a new society they adapt themselves however refugee s are almost never good
🇳🇴✊,
"*Scandinavians represent!* Peoples of the North, make yourselves known!",scandinavians represent peoples of the north make yourselves known
Swede here!,swede here
Dane here,dane here
*Nordics,nordics
Population growth is the largest threat,population growth is the largest threat
Kinda predicted the comment section would be anti-Islam mess,kinda predicted the comment section would be anti islam mess
Because people know the truth about pislam,because people know the truth about pislam
Keep receiving immigrants and see in a couple of year's how happy they are still..,keep receiving immigrants and see in a couple of year s how happy they are still
Were you saying that in 2012? 🙄,were you saying that in 2012
"Actually in Finland immigrants were mostly Happy. You can google all The reasons why Finland was ranked The happiest country 2018, 2019, 2020 and 2021.",actually in finland immigrants were mostly happy you can google all the reasons why finland was ranked the happiest country 2018 2019 2020 and 2021
"The only practical solution is total enlightenment in the classical sense for everyone to achieve by transcending the root of all stress - ego.

At least, that’s what the salesman told me.",the only practical solution is total enlightenment in the classical sense for everyone to achieve by transcending the root of all stress ego at least that s what the salesman told me
Why are everyone here racist?,why are everyone here racist
Johannes Hembre-Ingul Because it's YouTube and everyone gets to hide behind anonymous usernames and profile pictures that grant them the opportunity to express their personal and sometimes controversial or hateful opinions without fear of being recognised and held responsible.,johannes hembre ingul because it s youtube and everyone gets to hide behind anonymous usernames and profile pictures that grant them the opportunity to express their personal and sometimes controversial or hateful opinions without fear of being recognised and held responsible
Because Islam has killed more people than Communism and 2-nd World War put together.,because islam has killed more people than communism and 2 nd world war put together
